domain,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
Working with Methods and Encapsulation,Accessing Members,What is the output of this code? public class AccessTest { private int value = 10; public static void main(String args) { AccessTest at = new AccessTest(); System.out.println(at.value); } },10,0,Compilation error,Runtime error,None of the above.,A,"Private members are accessible within the same class. Since main() is part of AccessTest, it can access the private value field."
Working with Inheritance,Polymorphic Method Call,Which line will print the name of the Eagle object? interface Flyer { String getName(); } class Bird implements Flyer { public String name; public Bird(String name) { this.name = name; } public String getName() { return name; } } class Eagle extends Bird { public Eagle(String name) { super(name); } } Flyer f = new Eagle(""American Bald Eagle"");,System.out.println(f.name);,System.out.println(f.getName());,System.out.println(((Eagle) f).name);,System.out.println(Eagle.name);,System.out.println(Eagle.getName(f));,B,"f is of type Flyer which declares getName(). The polymorphic call will invoke the implementation from the actual object type."
Handling Exceptions,Exception Handling Advantages,Which is an advantage of the Java exception mechanism?,Provides a set of standard exceptions that covers all possible errors.,Allows the creation of new exceptions customized to the particular program.,Improves program structure by separating error handling code from normal program flow.,Improves program structure because exceptions must be handled in the method in which they occur.,All of the above.,C,"The main advantage is separating error-handling logic from normal business logic, leading to cleaner and more readable code."
Working with Java API - String,StringBuilder vs String,Which statement is true about String and StringBuilder in Java?,String is mutable StringBuilder is immutable.,Both String and StringBuilder are mutable.,String objects are stored on the heap StringBuilder objects are stored in the String pool.,StringBuilder is more efficient for frequent string modifications than String.,String is thread-safe StringBuilder is not.,D,"StringBuilder is mutable and more efficient for frequent modifications. String is immutable and creates new objects for each modification."
Working with Java API - Time and Date,LocalTime,Which is a valid way to create a LocalTime object?,LocalTime time = new LocalTime(10, 30);,LocalTime time = LocalTime.of(10, 30);,LocalTime time = LocalTime.parse(""10:30 AM"");,LocalTime time = LocalTime.now().plusHours(2);,All of the above are valid.,B,"LocalTime.of(10, 30) is a valid static factory method. LocalTime doesn't have public constructors."
Working with Java API - ArrayList,Removing Elements,What will this code print? List<String> s1 = new ArrayList<>(); s1.add(""a""); s1.add(""b""); s1.add(""c""); s1.add(""a""); System.out.println(s1.remove(""a"") + "" "" + s1.remove(""x""));,true false,true true,false false,false true,Compilation error,A,"remove(""a"") removes first occurrence and returns true. remove(""x"") returns false since ""x"" is not found."
Java Basics,Package Declaration,Which statement about package declarations is true?,A Java source file can have multiple package declarations.,The package declaration must be the first statement in a Java source file.,If a package is not declared the class belongs to the java.lang package.,If a package is not declared the class belongs to the default package.,Package names must start with a capital letter.,D,"A source file can have at most one package declaration. If no package is declared, the class belongs to the default package."
Working With Java Data Types,Primitive Type Sizes,Which primitive data type has a size of 4 bytes?,byte,short,int,long,char,C,"byte=1 byte, short=2 bytes, int=4 bytes, long=8 bytes, char=2 bytes."
Using Operators and Decision Constructs,Switch with Boolean,What will this code print? public class TestClass { public static void main(String args) { boolean flag = true; switch (flag) { case true: System.out.println(""true""); default: System.out.println(""false""); } } },It will not compile.,false,true false,Exception at run time.,true,A,"Switch statements cannot use boolean expressions. Only String, byte, char, short, int, their wrapper classes, or enum types are allowed."
Creating and Using Arrays,Array Bounds,What is the output of this code? int[] numbers = {1, 2, 3}; System.out.println(numbers[3]);,3,Compilation error,Runtime error (ArrayIndexOutOfBoundsException),Runtime error (NullPointerException),None of the above.,C,"Arrays are zero-indexed. For an array of size 3, valid indices are 0, 1, 2. Accessing index 3 throws ArrayIndexOutOfBoundsException."
Using Loop Constructs,Loop Control,What will be the output of this code? int i = 0; while (i < 10) { i++; if (i % 2 == 0) continue; System.out.print(i); },13579,02468,123456789,246810,Compilation error,A,"The loop increments i first, then checks if even (continue skips print for even numbers). Only odd values are printed: 1,3,5,7,9."
Working with Methods and Encapsulation,Overloading Resolution,What will be printed? class TestClass { void probe(Object x) { System.out.println(""In Object""); } void probe(Number x) { System.out.println(""In Number""); } void probe(Integer x) { System.out.println(""In Integer""); } public static void main(String args) { double a = 10; new TestClass().probe(a); } },In Number,In Object,In Integer,Compilation error,Runtime error,A,"double autoboxes to Double. Double extends Number, so probe(Number) is the most specific applicable method."
Working with Inheritance,Covariant Return Types,What can be substituted for XXX and YYY? class A { public XXX m1(int a) { return a * 10 / 4 - 30; } } class A2 extends A { public YYY m1(int a) { return a * 10 / 4.0; } },int int,int double,double double,double int,Nothing they are not compatible.,C,"For overriding, return types must be same or covariant. double can accommodate int results, and double can be returned as double."
Handling Exceptions,Method Signature and Throws,Which method declaration is valid?,public void method() throws Exception { throw new IOException(); },public void method() { throw new IOException(); },public void method() throws IOException { throw new Exception(); },public void method() throws RuntimeException { throw new IOException(); },public void method() { throw new RuntimeException(); },E,"Unchecked exceptions (RuntimeException) don't require declaration in throws clause. Option E is valid."
Working with Java API - String,String Concatenation,What is the output of this code? String s = ""1""; s += 2; s += '3'; System.out.println(s);,123,12,13,Compilation error,Runtime error,A,"String concatenation with += converts the operands to strings. ""1"" + 2 = ""12"", ""12"" + '3' = ""123""."
Java Basics,Import Statements,Which statement about import statements is true?,They must appear before the package declaration.,They are optional if using fully qualified names.,They can import multiple specific classes with a single statement using a wildcard.,They can import specific methods from a class.,All of the above.,B,"Import statements are optional if you use fully qualified names. They must appear after package declaration and cannot import specific methods (only classes or static members)."
Working With Java Data Types,Default Values for Arrays,What will this program print? public class TestClass { static boolean b; static int[] ia = new int[1]; static char ch; static boolean[] ba = new boolean[1]; public static void main(String args) { boolean x = false; if (b) { x = (ch == ia[ch]); } else { x = (ba[ch] = b); } System.out.println(x + "" "" + ba[ch]); } },true true,true false,false true,false false,It will not compile.,D,"All static fields initialize to defaults: b=false, ia[0]=0, ch='\u0000' (0), ba[0]=false. Since b is false, else block executes: ba[0]=b assigns false to ba[0] and returns false. Result: false false."
Using Operators and Decision Constructs,Comparison Operators,What is the output of this code? System.out.println(10 > 5 && 20 < 30); System.out.println(10 == 10 || 5 != 5);,true true,true false,false true,false false,Compilation error,A,"First: 10>5 is true, 20<30 is true, true&&true=true. Second: 10==10 is true, 5!=5 is false, true||false=true."
Creating and Using Arrays,Array Copying,What is the output of this code? int[] arr1 = {1, 2, 3}; int[] arr2 = arr1; arr2[0] = 10; System.out.println(arr1[0]);,1,10,Compilation error,Runtime error,None of the above.,B,"arr2 = arr1 copies the reference, not the array. Both variables refer to the same array. Modifying arr2[0] also affects arr1[0]."
Using Loop Constructs,For Loop Initialization,What is the output of this code? for (int i = 0, j = 10; i < j; i++, j--) { System.out.print(""("" + i + "","" + j + "")""); },0 10 1 9 2 8 3 7 4 6,0 10 1 9 2 8 3 7 4 5,0 10 1 9 2 8 3 7 4 6 5 5,0 10 1 9 2 8 3 7,Compilation error,A,"Loop continues while i<j. Iterations: (0,10), (1,9), (2,8), (3,7), (4,6), then i=5 and j=5 so i<j is false."
Working with Methods and Encapsulation,Static Method Call,Which is a valid way to call the static method printMessage() from outside its class Utils?,Utils.printMessage();,new Utils().printMessage();,printMessage(); (if in same package),Both A and B are valid.,Only A is valid.,A,"Static methods should be called using the class name. While option B might work, it's bad practice as it implies instance method usage."
Working with Inheritance,Instanceof Operator,What is the output of this code? class Animal {} class Dog extends Animal {} public class Test { public static void main(String args) { Animal a = new Dog(); System.out.println(a instanceof Animal); System.out.println(a instanceof Dog); } },true true,true false,false true,false false,Compilation error,A,"a refers to a Dog object. Since Dog is an Animal (inheritance), both instanceof checks return true."
Handling Exceptions,Catching Specific Exceptions,What is the output of this code? public class ExceptionOrder { public static void main(String args) { try { String s = null; System.out.println(s.length()); } catch (RuntimeException e) { System.out.println(""RuntimeException""); } catch (NullPointerException e) { System.out.println(""NullPointerException""); } } },RuntimeException,NullPointerException,Compilation error,Runtime error,None of the above.,C,"Compilation error: more specific exceptions (NullPointerException) must be caught before more general ones (RuntimeException)."
Working with Java API - String,String Equality,What is the output of this code? String s1 = ""Hello""; String s2 = ""Hello""; String s3 = new String(""Hello""); System.out.println(s1 == s2); System.out.println(s1 == s3); System.out.println(s1.equals(s3));,true true true,true false true,false false true,true false false,Compilation error,B,"s1 and s2 refer to the same pooled literal (==true). s3 is a new object (==false). equals() compares content (true)."
Working with Java API - Time and Date,Period and Duration,Which statement about Period and Duration is true?,Period represents a time-based amount Duration represents a date-based amount.,Both Period and Duration are immutable.,Period is used for hours minutes seconds; Duration for years months days.,Period can be negative Duration cannot.,Period and Duration can be added to LocalDateTime interchangeably.,B,"Both Period and Duration are immutable. Period is for date-based amounts (years, months, days), Duration is for time-based amounts."
Working with Java API - ArrayList,ArrayList Capacity,What is the initial capacity of an ArrayList created with no arguments?,0,5,10,16,Compilation error,C,"ArrayList's default constructor creates an array with initial capacity of 10."
Java Basics,Main Method Arguments,What will be the output when running: java MyClass Hello World? public class MyClass { public static void main(String[] args) { System.out.println(args[0] + args[1]); } },HelloWorld,Hello World,Hello,Compilation error,Runtime error (ArrayIndexOutOfBoundsException),A,"Command line arguments are stored in args array. args[0]=""Hello"", args[1]=""World"". String concatenation produces ""HelloWorld""."
Working With Java Data Types,Wrapper Class Constructors,Which Boolean constructor call will cause a compile-time error?,new Boolean(true);,new Boolean(""true"");,new Boolean(""FALSE"");,new Boolean();,new Boolean(null);,D,"Boolean has constructors Boolean(boolean) and Boolean(String), but no no-argument constructor."
Using Operators and Decision Constructs,Post/Pre Increment,What is the output of this code? int x = 5; int y = 5; System.out.println(x++ + "" "" + ++y); System.out.println(x + "" "" + y);,5 6 then 6 6,6 6 then 5 6,5 6 then 6 7,5 6 then 6 6,Compilation error,A,"First line: x++ uses 5 then increments x to 6, ++y increments y to 6 then uses 6. Output: ""5 6"". Second line: x=6, y=6. Output: ""6 6""."
Working with Inheritance,Superclass Constructor Call,Which statement is true regarding super() and this() in Java constructors?,super() and this() can be called anywhere in a constructor.,super() must be the first statement in a constructor if present.,this() must be the first statement in a constructor if present.,A constructor can call both super() and this().,super() and this() can only be called in static methods.,C,"Both super() and this() must be the first statement if present. A constructor can call either super() or this(), but not both."
Handling Exceptions,Custom Exceptions,Which is true about creating a custom checked exception in Java?,It must extend RuntimeException.,It must extend Error.,It must extend Throwable directly.,It must extend Exception or a subclass of Exception (but not RuntimeException).,It must extend IOException.,D,"Custom checked exceptions must extend Exception or its subclasses, excluding RuntimeException and its subclasses (which are unchecked)."
Working with Java API - String,String Formatting,What is the output of this code? System.out.printf(""Value: %d%n"", 123);,Value: 123,Value: %d,Value: 123.0,Value: 123\n,Compilation error,A,"printf uses format specifiers. %d formats integers, %n produces a platform-specific newline. Output: ""Value: 123"" followed by newline."
Working with Java API - ArrayList,Iterating ArrayList,What is the output of this code? ArrayList<String> list = new ArrayList<>(); list.add(""A""); list.add(""B""); for (int i = 0; i < list.size(); i++) { System.out.print(list.get(i) + "" ""); },A B,A B C,Compilation error,Runtime error,None of the above.,A,"The for loop iterates from 0 to list.size()-1. list.get(0) returns ""A"", list.get(1) returns ""B"". Output: ""A B ""."
Java Basics,Class Definition,Which is a valid Java class definition?,class MyClass { public MyClass() {} },public class MyClass { public static void main(String[] args) {} },class MyClass extends AnotherClass {},interface MyInterface { void method(); },All of the above are valid class or interface definitions.,E,"All options show valid ways to define classes or interfaces in Java."
Working With Java Data Types,Object References,What is the output of this code? Object obj1 = new Object(); Object obj2 = obj1; obj1 = null; System.out.println(obj2);,null,java.lang.Object@... (memory address),Compilation error,Runtime error,undefined,B,"obj2 refers to the same Object instance as obj1 initially did. Setting obj1 to null doesn't affect obj2, which still refers to the original Object instance."
